Frame Info: ,,,
Type,Depth,,
Format,Z16,,
Frame Number,4427,,
Timestamp (ms),1.59E+12,,
Resolution x,640,,
Resolution y,360,,
Bytes per pixel,2,,
,,,
Intrinsic:,,,
Fx,318.402496,,
Fy,318.402496,,
PPx,320.865143,,
PPy,176.714935,,
Distorsion,Brown Conrady,,
,,,
,x,y,z
a,83.45,-301.12,-77.668
b,69.4,-302.47,-77.707
c,78.006,-286.67,-77.134
d,92.0561,-294.324,-77.0952
e,69.5911,-302.174,-88.7011
f,78.1968,-286.375,-88.1286
g,79.5165,-282.266,-87.9956
h,94.4448,-290.399,-87.9542
i,92.247,-294.029,-88.0896
j,68.6764,-302.213,-97.7226
k,79.6727,-282.025,-96.991
l,94.601,-290.158,-96.9496
,Test,GroundTruth,relative error(%)
AB,14.11476252,16,0.117827343
BC,18.00087678,18,0.004871
CF,11.00021176,11,0.001925091
HG,17.00004541,17,0.000267118
GK,8.999983367,9,0.000184811
KJ,23.00019992,23,0.000869217
